Wavelength [nm]	Wavenumbers [1/cm]	Intensity
667.463	14982.11	1.151
668.036	14969.25	0.08366
668.609	14956.42	0.1048
669.182	14943.62	-8.311
669.755	14930.83	-10.2
670.328	14918.06	1.561
670.901	14905.32	11.05
671.474	14892.60	7.388
672.048	14879.90	9.612
672.621	14867.22	17.76
673.194	14854.57	11.52
673.767	14841.93	0.4081
674.340	14829.32	7.267
674.913	14816.73	15.48
675.486	14804.16	1.268
676.059	14791.61	-0.5224
676.632	14779.08	-0.1064
677.205	14766.57	-3.247
677.778	14754.09	-4.108
678.351	14741.62	5.677
678.924	14729.18	8.288
679.497	14716.76	-1.132
680.071	14704.36	-8.256
680.644	14691.98	0.3423
681.217	14679.62	9.644
681.790	14667.28	6.386
682.363	14654.96	-2.647
682.936	14642.66	-14.78
683.509	14630.38	-6.342
684.082	14618.13	-13.27
684.655	14605.89	6.478
685.228	14593.68	-1.728
685.801	14581.48	-9.302
686.374	14569.31	-13.73
686.947	14557.15	-1.2
687.521	14545.02	1.506
688.094	14532.91	-6.783
688.667	14520.81	2.406
689.240	14508.74	-17.58
689.813	14496.69	-7.973
690.386	14484.65	-1.323
690.959	14472.64	-2.825
691.532	14460.65	0.1789
692.105	14448.67	-11.24
692.678	14436.72	-1.841
693.251	14424.78	10.46
693.824	14412.87	-8.506
694.397	14400.97	-2.928
694.971	14389.10	-7.264
695.544	14377.24	-6.935
696.117	14365.41	-14.06
696.690	14353.59	-21.68
697.263	14341.79	-6.699
697.836	14330.02	1.273
698.409	14318.26	-1.437
698.982	14306.52	-3.49
699.555	14294.80	8.709
700.128	14283.10	-11.55
700.701	14271.42	-18.86
701.274	14259.75	-12.26
701.847	14248.11	-1.051
702.421	14236.49	9.604
702.994	14224.88	3.564
703.567	14213.29	-0.8551
704.140	14201.73	11.77
704.713	14190.18	20.6
705.286	14178.65	13
705.859	14167.14	11.18
706.432	14155.64	4.851
707.005	14144.17	-1.808
707.578	14132.71	7.691
708.151	14121.28	12.78
708.724	14109.86	1.161
709.297	14098.46	0.07084
709.870	14087.08	5.675
710.444	14075.71	3.108
711.017	14064.37	0.8628
711.590	14053.04	2.325
712.163	14041.73	0.7549
712.736	14030.44	2.244
713.309	14019.17	-10.32
713.882	14007.92	-22.6
714.455	13996.68	-12.1
715.028	13985.46	-2.466
715.601	13974.26	-11.26
716.174	13963.08	-0.7474
716.747	13951.92	0.2149
717.320	13940.77	-0.9861
717.894	13929.64	-2.208
718.467	13918.53	-22.93
719.040	13907.44	-12
719.613	13896.36	7.974
720.186	13885.30	7.592
720.759	13874.26	17.57
721.332	13863.24	-4.404
721.905	13852.24	-4.913
722.478	13841.25	5.635
723.051	13830.28	-0.7194
723.624	13819.33	-12.67
724.197	13808.39	-14.29
724.770	13797.47	-20.64
725.344	13786.57	-28.83
725.917	13775.69	-24.32
726.490	13764.82	-14.84
727.063	13753.97	-8.939
727.636	13743.14	-20.25
728.209	13732.32	-20.14
728.782	13721.52	-4.712
729.355	13710.74	3.858
729.928	13699.98	-9.31
730.501	13689.23	-10.57
731.074	13678.50	-20
731.647	13667.79	-4.762
732.220	13657.09	-22.04
732.794	13646.41	-17.86
733.367	13635.75	-12.77
733.940	13625.10	-6.277
734.513	13614.47	2.488
735.086	13603.85	9.199
735.659	13593.26	-9.18
736.232	13582.68	-2.09
736.805	13572.11	-5.677
737.378	13561.56	-6.881
737.951	13551.03	-15.99
738.524	13540.52	-0.3575
739.097	13530.02	6.019
739.670	13519.53	-6.498
740.244	13509.07	-29.48
740.817	13498.62	-23.63
741.390	13488.18	-17.67
741.963	13477.77	-25.63
742.536	13467.36	-13.2
743.109	13456.98	12.01
743.682	13446.61	-8.077
744.255	13436.25	16.73
744.828	13425.92	3.132
745.401	13415.59	-4.666
745.974	13405.29	-4.489
746.547	13395.00	2.882
747.120	13384.72	-8.331
747.693	13374.46	16.91
748.267	13364.22	-9.665
748.840	13353.99	-16.48
749.413	13343.78	2.615
749.986	13333.59	17.86
750.559	13323.41	-6.372
751.132	13313.24	8.736
751.705	13303.09	10.34
752.278	13292.96	3.273
752.851	13282.84	-16.96
753.424	13272.73	-26.88
753.997	13262.65	-0.7724
754.570	13252.57	3.963
755.143	13242.52	-1.176
755.717	13232.47	-9.857
756.290	13222.45	4.203
756.863	13212.44	-27.95
757.436	13202.44	-22.43
758.009	13192.46	-17.04
758.582	13182.49	0.7519
759.155	13172.54	5.352
